> [AbstractArgumentParser]: setupCLIOptions() DONE.
width	512
y0	0
yS	256
output-directory	/tmp
y1	511
strategy	GREEDY_RANGE_SCAN
paint_color	java.awt.Color[r=0,g=160,b=230]
debug	true
xS	256
x0	0
x1	511
input	datasets/SIMPLE_VORONOI_512x512_1.png
height	512
gradient	RAINBOW


Branch summary:
CLASS NAME	METHOD	PC	TAKEN	NOT_TAKEN
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	values	11	0	3
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	28	2	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	containsCoordinate	29	0	3567
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	containsCoordinate	21	0	3567
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	containsCoordinate	13	0	3567
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	containsCoordinate	5	0	3567
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1584	1	0
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1569	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1554	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1525	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1408	1	0
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1393	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1378	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1349	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1284	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	1258	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	1141	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	1126	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	1090	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	987	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	972	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	943	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	826	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	811	0	1
