> [AbstractArgumentParser]: setupCLIOptions() DONE.
width	1024
y0	0
yS	128
output-directory	/tmp
y1	255
strategy	GRID_SCAN
paint_color	java.awt.Color[r=0,g=160,b=230]
debug	true
xS	128
x0	0
x1	255
input	datasets/SIMPLE_VORONOI_1024x1024_1.png
height	1024
gradient	RAINBOW


Branch summary:
CLASS NAME	METHOD	PC	TAKEN	NOT_TAKEN
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	values	11	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	28	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1584	1	0
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1569	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1554	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1525	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1408	1	0
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1393	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1378	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1349	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory$SolverType	toString	1284	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	1258	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	1141	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	1126	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	1090	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	987	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	972	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	943	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	826	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	811	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	775	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	672	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	657	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	628	0	1
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	272	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	189	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	115	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	70	1	0
pt/ulisboa/tecnico/cnv/solver/SolverArgumentParser$SolverParameters	toString	27	1	0
pt/ulisboa/tecnico/cnv/solver/SolverFactory	getInstance	3	0	1
pt/ulisboa/tecnico/cnv/solver/SolverFactory	toString	9	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	235	1024	1048576
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	222	1	1024
pt/ulisboa/tecnico/cnv/solver/AbstractSolverStrategy	<init>	73	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	100	0	1
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	getRightX	114	1	80
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	getRightX	131	80	5040
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	223	0	2768
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	214	0	2768
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	208	0	2768
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	199	0	2768
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	getRightX	165	2272	2768
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	getRightX	68	80	5040
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	getRightX	56	1	80
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	39	269193	26919300
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	checkBoundaries	31	269193	269193
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	getBorderColor	707	6961	88
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	663	120	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	650	36	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	645	0	36
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	640	152	36
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	635	120	188
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	630	0	308
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	617	708	0
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	612	0	708
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	607	5388	708
pt/ulisboa/tecnico/cnv/solver/Solver$Viewport	toString	602	0	6096
